x,y,z,r,curvature,torsion
67.9459,85.2804,26.0663,2.61315,0.146193,0.00681603
68.1721,85.1393,26.0198,2.62498,0.126903,-0.170695
68.3943,84.9901,25.9749,2.65416,0.107768,-0.231572
68.6132,84.8337,25.9318,2.6707,0.0892947,-0.327586
68.83,84.6713,25.8904,2.67568,0.0720865,-0.485808
69.0455,84.504,25.8511,2.63709,0.0570856,-0.746502
69.2606,84.3329,25.8139,2.65678,0.0460021,-1.10596
69.4764,84.1591,25.779,2.54312,0.0414243,-1.31111
69.6936,83.9837,25.7465,2.51496,0.0447598,-1.07894
69.9132,83.8079,25.7165,2.47307,0.0540769,-0.70965
70.1363,83.6328,25.6892,2.48868,0.0665106,-0.449753
70.3633,83.4591,25.6648,2.48053,0.0597575,0.389193
70.5939,83.2871,25.6435,2.47503,0.0546471,0.452585
70.8271,83.1165,25.6256,2.46452,0.051434,0.50201
71.0623,82.9472,25.6113,2.52598,0.0503382,0.520369
71.2986,82.779,25.6009,2.53744,0.0514436,0.499867
71.5353,82.6118,25.5948,2.53747,0.0546495,0.449001
71.7715,82.4454,25.5931,2.57093,0.0597236,0.385021
72.0064,82.2796,25.5962,2.60988,0.0664035,0.322207
72.2393,82.1143,25.6043,2.57128,0.0744725,0.267639
72.4693,81.9494,25.6178,2.60374,0.0837865,0.223032
72.696,81.7847,25.6368,2.66263,0.0831191,-0.231653
72.9194,81.6205,25.6614,2.60072,0.08268,-0.245261
73.1401,81.4568,25.6918,2.56614,0.0825215,-0.255892
73.3586,81.294,25.728,2.52727,0.082684,-0.262788
73.5754,81.1323,25.77,2.5143,0.0831921,-0.265437
73.7908,80.9718,25.818,2.52992,0.0840518,-0.263664
74.0053,80.8129,25.8719,2.54948,0.0852493,-0.257663
74.2195,80.6557,25.9319,2.56999,0.0867519,-0.247949
74.4338,80.5005,25.9981,2.53463,0.0885102,-0.235263
74.6486,80.3475,26.0704,2.62873,0.0904622,-0.220444
74.8642,80.1967,26.1492,2.53771,0.0937112,0.47392
75.0799,80.0481,26.2346,2.53459,0.0989771,0.416597
75.2948,79.9011,26.3274,2.667,0.105895,0.358061
75.508,79.7555,26.428,2.58465,0.114108,0.304051
75.7186,79.611,26.537,2.57698,0.12329,0.257015
75.9257,79.4671,26.6547,2.57155,0.133146,0.217303
76.1284,79.3236,26.7819,2.61529,0.143398,0.18425
76.3259,79.18,26.9189,2.56357,0.153774,0.156842
76.5171,79.0362,27.0662,2.73419,0.163995,0.134057
76.7012,78.8916,27.2245,2.75649,0.173768,-0.319538
76.8776,78.7464,27.3938,2.67562,0.154912,-0.389634
77.0462,78.6021,27.5731,2.68325,0.142286,-0.459152
77.2073,78.4607,27.7607,2.70123,0.136946,-0.506803
77.3613,78.3242,27.9551,2.63669,0.139823,-0.512258
77.5084,78.1946,28.1549,2.63341,0.151378,-0.475264
77.6489,78.0738,28.3586,2.68016,0.171639,-0.415358
77.783,77.9638,28.5645,2.67551,0.200624,-0.353115
77.911,77.8666,28.7713,2.68423,0.238736,-0.299366
78.0332,77.7841,28.9774,2.7246,0.286908,-0.256796
78.1499,77.7184,29.1812,2.70035,0.346479,0.216235
78.2613,77.6705,29.3817,2.73906,0.315714,0.325609
78.3672,77.6383,29.5798,2.74107,0.275222,0.505346
78.4675,77.6186,29.7765,2.74947,0.229729,0.811603
78.5621,77.6084,29.9732,2.7266,0.186634,1.31391
78.6507,77.6046,30.171,2.668,0.157382,1.89569
78.7331,77.6041,30.3713,2.72359,0.154706,1.93928
78.8093,77.6039,30.5752,2.72103,0.17938,1.37476
78.879,77.6008,30.7839,2.71835,0.218971,0.846031
78.942,77.5919,30.9988,2.72411,0.261614,0.520768
78.9982,77.574,31.2209,2.66775,0.299893,0.116418
79.0477,77.5448,31.4512,2.67803,0.242481,0.146671
79.0914,77.5048,31.6886,2.53334,0.193004,0.195154
79.1307,77.4554,31.9317,2.53202,0.150361,0.278765
79.1668,77.3979,32.1791,2.62305,0.113682,0.436064
79.2011,77.3337,32.4294,2.68191,0.0829478,0.756595
79.2348,77.2639,32.6812,2.66221,0.0604708,1.35959
79.2691,77.19,32.9331,2.63595,0.0530744,1.74342
79.3055,77.1132,33.1836,2.62534,0.0651826,1.18109
79.3451,77.0348,33.4313,2.55424,0.0902633,0.650922
79.3892,76.9563,33.6749,2.53554,0.122656,0.486146
79.4387,76.8788,33.9132,2.47733,0.108805,0.681623
79.4932,76.8034,34.1471,2.54441,0.0984313,0.907506
79.5515,76.7313,34.3774,2.59833,0.0943179,1.06409
79.6127,76.6635,34.6053,2.66438,0.0985586,1.03633
79.6759,76.601,34.8317,2.81836,0.111039,0.856768
79.7401,76.545,35.0578,2.7809,0.129743,0.64859
79.8043,76.4964,35.2846,2.8353,0.152227,0.478271
79.8676,76.4565,35.5131,2.83551,0.176376,0.353988
79.9289,76.4262,35.7444,2.8064,0.200426,0.265532
79.9874,76.4066,35.9795,2.86721,0.222841,0.0280087
80.0424,76.3981,36.2193,2.87408,0.165659,0.0466625
80.0946,76.3984,36.4633,2.91651,0.112782,0.0924419
80.145,76.4044,36.7113,2.99467,0.0673142,0.239451
80.1948,76.4131,36.9626,2.96737,0.0436504,0.530135
80.2449,76.4214,37.2168,2.95979,0.0638625,0.232822
80.2963,76.4264,37.4734,2.93853,0.10252,0.0855934
80.3502,76.4251,37.7318,2.8766,0.144149,0.0411572
80.4076,76.4142,37.9915,2.86778,0.18546,0.023557
80.4694,76.391,38.2521,2.86191,0.224883,0.0149949
80.5369,76.3523,38.5131,2.95732,0.26079,-0.171443
80.6104,76.2956,38.7737,2.94742,0.240158,-0.18442
80.689,76.2211,39.0323,2.85532,0.226416,-0.194199
80.7708,76.1294,39.287,2.89287,0.219459,-0.198732
