,x,y,z,r,curvature,torsion
257,77.856,61.134,40.662,2.7976,0.35639,-0.023351
258,78.053,61.021,40.83,2.8197,0.35172,-0.019634
259,78.254,60.932,41.003,2.8236,0.34433,-0.015992
260,78.457,60.868,41.181,2.8493,0.33463,-0.012431
261,78.661,60.831,41.361,2.8727,0.32311,-0.0089695
262,78.865,60.818,41.544,2.8609,0.30576,-0.0044918
263,79.067,60.827,41.731,2.8973,0.29186,-0.0012205
264,79.266,60.857,41.921,2.8876,0.27765,0.0019773
265,79.462,60.904,42.114,2.8723,0.26348,0.0051257
266,79.654,60.967,42.312,2.859,0.2496,0.0082469
267,79.839,61.044,42.514,2.7508,0.23625,0.011297
268,80.018,61.132,42.72,2.6641,0.21953,0.015259
269,80.19,61.228,42.932,2.5873,0.20793,0.018167
270,80.352,61.332,43.149,2.4897,0.19722,0.020954
271,80.505,61.44,43.371,2.3998,0.18741,0.023591
272,80.648,61.553,43.596,2.3981,0.17853,0.026066
273,80.784,61.672,43.823,2.3337,0.17056,0.028327
274,80.913,61.797,44.049,2.2926,0.16129,0.03091
275,81.035,61.929,44.271,2.2965,0.15532,0.032475
276,81.152,62.068,44.488,2.2354,0.15013,0.033698
277,81.264,62.215,44.697,2.2086,0.14567,0.034563
278,81.373,62.37,44.896,2.1706,0.14189,0.03504
279,81.48,62.534,45.082,2.1672,0.13872,0.035132
280,81.585,62.708,45.254,2.1852,0.13535,0.034759
281,81.688,62.892,45.41,2.2064,0.13338,0.034108
282,81.791,63.085,45.551,2.3153,0.13182,0.033173
283,81.892,63.287,45.679,2.3339,0.13062,0.03207
284,81.991,63.497,45.795,2.321,0.12973,0.030813
285,82.088,63.715,45.901,2.3901,0.12908,0.029411
286,82.183,63.941,45.999,2.3897,0.12853,0.027387
287,82.274,64.173,46.09,2.6519,0.12829,0.025774
288,82.362,64.411,46.176,2.6164,0.12815,0.02409
289,82.446,64.655,46.259,2.5798,0.12806,0.0224
290,82.526,64.904,46.34,2.4526,0.12798,0.020723
291,82.602,65.158,46.421,2.3771,0.1279,0.019057
292,82.674,65.415,46.502,2.4253,0.12769,0.016903
293,82.74,65.676,46.581,2.3885,0.12745,0.015367
294,82.802,65.94,46.657,2.3709,0.12709,0.013894
295,82.858,66.207,46.73,2.4112,0.1266,0.012501
296,82.91,66.476,46.799,2.3952,0.12596,0.011203
