x,y,z,r,curvature,torsion
85.301,75.872,38.449,2.9899,0.23517,0.292
85.329,75.734,38.68,3.0165,0.22611,0.32712
85.36,75.584,38.901,3.076,0.21932,0.3595
85.394,75.423,39.111,3.1135,0.21545,0.38566
85.427,75.251,39.311,3.0797,0.215,0.40213
85.459,75.068,39.5,3.1244,0.21831,0.40661
85.488,74.877,39.676,3.1786,0.22553,0.3988
85.511,74.677,39.841,3.1244,0.23661,0.38048
85.528,74.47,39.994,3.1433,0.25128,0.35469
85.537,74.256,40.134,3.1317,0.26906,-0.053471
85.536,74.036,40.261,3.125,0.25936,-0.059505
85.526,73.811,40.375,3.0736,0.24761,-0.06599
85.507,73.58,40.477,3.0645,0.23436,-0.073034
85.48,73.344,40.568,3.0812,0.22015,-0.080784
85.445,73.104,40.647,3.1024,0.20546,-0.08944
85.404,72.86,40.715,3.1492,0.1907,-0.099252
85.357,72.612,40.773,3.1191,0.17619,-0.11053
85.304,72.361,40.821,3.0038,0.16218,-0.12366
85.247,72.106,40.859,3.115,0.14885,-0.13909
85.186,71.849,40.888,3.1328,0.13633,0.23757
85.121,71.59,40.908,3.1286,0.12383,0.27491
85.053,71.329,40.919,3.0381,0.11331,0.31669
84.981,71.067,40.924,2.9839,0.10496,0.36
84.905,70.806,40.922,2.9964,0.099019,0.3993
84.824,70.546,40.914,2.9594,0.095736,0.42701
84.74,70.287,40.901,2.9072,0.095314,0.43631
84.65,70.032,40.883,2.8968,0.09785,0.42489
84.556,69.78,40.862,3.0638,0.10332,0.39642
84.457,69.533,40.837,2.9665,0.11161,0.35814
84.352,69.29,40.811,2.9359,0.12258,-0.039941
84.241,69.054,40.782,2.942,0.10323,-0.059918
84.126,68.823,40.753,2.9674,0.082643,-0.097452
84.007,68.595,40.722,3.1117,0.061486,-0.18015
83.885,68.37,40.69,2.9219,0.040824,-0.41106
83.761,68.147,40.657,2.9259,0.023926,-1.1848
83.636,67.923,40.623,2.784,0.022632,-1.2911
83.509,67.698,40.588,2.784,0.037908,-0.44216
83.384,67.47,40.553,2.7506,0.056943,-0.18553
83.259,67.239,40.517,2.7342,0.076005,-0.097121
83.137,67.003,40.481,2.7853,0.094067,-0.040661
83.017,66.761,40.445,2.7884,0.08003,-0.0517
82.901,66.514,40.409,2.8067,0.068109,-0.067074
82.787,66.262,40.373,2.8024,0.05847,-0.087297
82.677,66.008,40.337,2.7618,0.051569,-0.10988
82.57,65.751,40.302,2.7147,0.048095,-0.12625
82.467,65.493,40.268,2.6875,0.048637,-0.12598
82.368,65.236,40.235,2.7205,0.053244,-0.10958
82.272,64.979,40.203,2.7235,0.061445,-0.087658
82.18,64.724,40.173,2.6178,0.072706,-0.06823
82.092,64.473,40.144,2.5504,0.086755,-0.37378
82.009,64.225,40.118,2.5759,0.095443,-0.34624
81.929,63.98,40.094,2.5291,0.11289,-0.27267
81.855,63.738,40.077,2.5607,0.13662,-0.20084
81.786,63.496,40.066,2.5401,0.16395,-0.14658
81.722,63.253,40.064,2.5553,0.1925,-0.10828
81.664,63.01,40.072,2.5518,0.22011,-0.081227
81.613,62.764,40.092,2.5391,0.24472,-0.061696
81.568,62.514,40.126,2.4996,0.26455,-0.047229
81.531,62.26,40.176,2.55,0.27822,-0.036287
81.5,62,40.243,2.4359,0.28502,0.26408
81.478,61.734,40.329,2.5003,0.24394,0.29397
81.465,61.465,40.431,2.4833,0.22322,0.30676
81.464,61.197,40.548,2.5008,0.22082,0.29198
81.477,60.932,40.678,2.5279,0.23478,0.25507
81.505,60.675,40.819,2.5229,0.26314,0.21132
81.551,60.429,40.969,2.5853,0.30436,0.17186
81.616,60.199,41.126,2.448,0.3573,0.14027
81.702,59.986,41.287,2.48,0.42039,0.11583
81.813,59.796,41.451,2.5105,0.49013,0.096575
81.948,59.632,41.616,2.4196,0.55923,-0.030393
82.11,59.496,41.779,2.3205,0.52631,-0.034984
82.295,59.389,41.939,2.3821,0.49123,-0.039371
82.5,59.312,42.095,2.3165,0.4594,-0.04334
82.72,59.264,42.245,2.3983,0.43449,-0.046566
82.951,59.244,42.386,2.3545,0.41867,-0.048648
83.191,59.253,42.518,2.3369,0.41301,-0.049247
83.433,59.29,42.638,2.3713,0.41774,-0.048244
83.675,59.356,42.745,2.3162,0.43238,-0.045806
83.913,59.45,42.838,2.2623,0.45559,-0.042302
84.142,59.572,42.914,2.2081,0.48498,0.07929
84.36,59.722,42.973,2.1411,0.41526,0.1049
84.568,59.895,43.015,2.0993,0.33999,0.14246
84.767,60.088,43.043,1.9119,0.26709,0.20451
84.96,60.297,43.058,1.986,0.20041,0.32187
85.148,60.518,43.063,1.9105,0.14148,0.5831
85.334,60.746,43.058,1.9394,0.092476,1.2701
85.52,60.978,43.046,1.9839,0.063876,2.5688
85.706,61.209,43.029,1.9989,0.076354,1.8028
85.897,61.436,43.008,1.9117,0.11815,0.78358
86.092,61.654,42.985,1.8907,0.17176,0.017056
86.295,61.861,42.962,1.9673,0.1217,0.036723
86.501,62.059,42.939,2.0481,0.072018,0.11239
86.709,62.251,42.917,2.19,0.040478,0.38069
86.914,62.44,42.894,2.2374,0.071367,0.13117
87.114,62.631,42.873,2.2626,0.12861,0.043206
87.305,62.826,42.852,2.2818,0.19191,0.020562
87.484,63.03,42.832,2.353,0.25683,0.011887
87.649,63.244,42.814,2.4124,0.31915,0.0076368
87.795,63.474,42.797,2.4389,0.37307,0.0051898
87.92,63.722,42.781,2.4043,0.41195,-0.27482
88.022,63.991,42.768,2.4517,0.33775,-0.3343
88.1,64.277,42.758,2.4968,0.28203,-0.40689
88.157,64.575,42.756,2.5868,0.24518,-0.48018
88.195,64.88,42.764,2.6722,0.22785,-0.52429
88.215,65.188,42.784,2.6939,0.23056,-0.51143
88.219,65.494,42.818,2.6522,0.25282,-0.44947
88.208,65.793,42.87,2.6308,0.29335,-0.37159
88.185,66.081,42.943,2.572,0.35091,-0.30162
88.151,66.352,43.038,2.5398,0.42417,-0.24611
88.107,66.601,43.159,2.6348,0.50966,0.15392
88.055,66.826,43.307,2.692,0.46145,0.20807
87.996,67.028,43.478,2.8093,0.39841,0.28199
87.927,67.21,43.669,2.5114,0.33106,0.38964
87.849,67.374,43.876,2.3268,0.26743,0.55524
87.76,67.525,44.093,2.3525,0.21344,0.80923
87.662,67.664,44.318,2.3155,0.17493,1.1344
87.552,67.796,44.545,2.3067,0.15889,1.3243
